City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,20.75,60,0,4.92,ZA,1675116704
1,rikitea,-23.1203,-134.9692,26.21,72,18,3.84,PF,1675116766
2,axim,4.8699,-2.2405,26.61,84,88,4.23,GH,1675116767
3,myitkyina,25.3833,97.4,14.28,62,0,1.09,MM,1675116767
4,airai,-8.9266,125.4092,16.74,95,100,0.07,TL,1675116768
5,upernavik,72.7868,-56.1549,-16.9,75,100,4.04,GL,1675116768
6,ancud,-41.8697,-73.8203,16.81,54,13,2.05,CL,1675116768
7,coesfeld,51.9333,7.15,5.06,79,9,5.25,DE,1675116769
8,ziro,27.6333,93.8333,4.74,69,0,1.21,IN,1675116769
9,puerto ayora,-0.7393,-90.3518,26.98,90,99,2.24,EC,1675116770
10,hobart,-42.8794,147.3294,18.48,76,75,2.57,AU,1675116770
11,hamilton,39.1834,-84.5333,0.25,93,100,5.14,US,1675116682
12,valdosta,30.8327,-83.2785,26.97,67,0,3.6,US,1675116661
13,matagalpa,12.9256,-85.9175,23.29,62,75,4.38,NI,1675116771
14,thompson,55.7435,-97.8558,-21.92,89,94,4.28,CA,1675116750
15,saint george,37.1041,-113.5841,5.14,55,40,2.24,US,1675116500
16,grand gaube,-20.0064,57.6608,25.77,79,38,0.45,MU,1675116517
17,punta arenas,-53.15,-70.9167,12.06,47,75,15.43,CL,1675116771
18,narsaq,60.9167,-46.05,-6.88,73,33,4.7,GL,1675116772
19,manado,1.487,124.8455,24.43,100,40,2.06,ID,1675116772
20,buala,-8.145,159.5921,27.75,75,89,1.2,SB,1675116772
21,nalut,30.3333,10.85,5.78,35,0,3.53,LY,1675116773
22,ushuaia,-54.8,-68.3,9.77,64,75,2.7,AR,1675116773
23,marrakesh,31.6315,-8.0083,12.04,54,75,2.06,MA,1675116518
24,sobolevo,54.4299,31.8996,-2.14,94,100,6.33,RU,1675116774
25,ribeira grande,38.5167,-28.7,13.76,79,9,3.13,PT,1675116774
26,mataura,-46.1927,168.8643,23.2,51,55,1.81,NZ,1675116774
27,lompoc,34.6391,-120.4579,15.29,68,46,5.36,US,1675116775
28,bluff,-46.6,168.3333,18.35,74,78,2.51,NZ,1675116775
29,kapaa,22.0752,-159.319,23.99,84,100,12.35,US,1675116775
30,qaanaaq,77.484,-69.3632,-21.63,52,3,3.77,GL,1675116776
31,brandon,27.9378,-82.2859,29.6,65,40,1.34,US,1675116677
32,rio cuarto,-33.1307,-64.3499,28.6,42,46,2.33,AR,1675116776
33,port blair,11.6667,92.75,25.5,76,13,4.44,IN,1675116777
34,hithadhoo,-0.6,73.0833,27.26,77,99,6.08,MV,1675116777
35,katobu,-4.9408,122.5276,24.09,93,100,1.3,ID,1675116778
36,nhulunbuy,-12.2333,136.7667,26.34,94,99,0.51,AU,1675116778
37,arraial do cabo,-22.9661,-42.0278,25.27,86,97,12.01,BR,1675116778
38,santa fe,-31.6333,-60.7,35.01,39,0,2.68,AR,1675116766
39,port elizabeth,-33.918,25.5701,21.17,95,97,2.68,ZA,1675116779
40,margate,51.3813,1.3862,5.39,82,9,0.89,GB,1675116779
41,novobureyskiy,49.798,129.8774,-31.57,100,97,0.72,RU,1675116779
42,onitsha,6.1454,6.7885,27.95,69,93,3.53,NG,1675116780
43,busselton,-33.65,115.3333,15.7,85,57,7.43,AU,1675116780
44,yambio,4.5721,28.3955,24.77,30,8,0.87,SS,1675116780
45,tefe,-3.3542,-64.7114,24.66,94,99,0.75,BR,1675116781
46,husavik,66.0449,-17.3389,-4.08,91,100,9.61,IS,1675116781
47,gat,31.61,34.7642,12.38,100,54,4.14,IL,1675116484
48,mitsamiouli,-11.3847,43.2844,26.84,78,6,0.87,KM,1675116782
49,sikonge,-5.6333,32.7667,18.7,79,25,1.66,TZ,1675116782
50,bobcaygeon,44.5462,-78.542,-4.4,94,100,4.53,CA,1675116783
51,jamestown,42.097,-79.2353,-2.21,70,100,3.6,US,1675116783
52,east london,-33.0153,27.9116,20.36,91,100,7.66,ZA,1675116784
53,iqaluit,63.7506,-68.5145,-39.7,98,96,1.56,CA,1675116784
54,barrow,71.2906,-156.7887,-21.99,77,20,9.77,US,1675116666
55,pittsburg,38.028,-121.8847,13.32,27,0,5.66,US,1675116649
56,bambous virieux,-20.3428,57.7575,25.68,82,51,1.3,MU,1675116785
57,sinnamary,5.3833,-52.95,24.21,89,37,3.47,GF,1675116786
58,puerto madero,14.7208,-92.4215,31.11,62,0,6.17,MX,1675116786
59,wyndham,37.6985,-77.6125,15.19,68,82,1.68,US,1675116787
60,sola,-13.8833,167.55,26.18,78,99,3.05,VU,1675116787
61,cap malheureux,-19.9842,57.6142,25.82,79,37,1.34,MU,1675116788
62,london,51.5085,-0.1257,4.98,85,7,2.57,GB,1675116029
63,coruripe,-10.1256,-36.1756,26.16,75,32,3.92,BR,1675116735
64,pangnirtung,66.1451,-65.7125,-31.4,99,100,1.1,CA,1675116789
65,durango,24.8333,-104.8333,22.21,21,68,9.56,MX,1675116635
66,morehead,37.2711,-87.1764,1.66,96,100,3.09,US,1675116789
67,miri,4.4148,114.0089,24.67,94,82,2.53,MY,1675116790
68,nanortalik,60.1432,-45.2371,-5.82,81,76,5.27,GL,1675116790
69,marawi,7.9986,124.2928,18.95,93,12,0.63,PH,1675116790
70,moron,-34.6534,-58.6198,31.0,54,0,3.46,AR,1675116791
71,port alfred,-33.5906,26.891,18.99,95,100,2.68,ZA,1675116791
72,namibe,-15.1961,12.1522,22.41,77,100,1.81,AO,1675116792
73,tuktoyaktuk,69.4541,-133.0374,-32.15,100,12,1.26,CA,1675116591
74,ponta do sol,32.6667,-17.1,16.35,72,80,3.63,PT,1675116792
75,zaprudnya,56.5667,37.4333,-2.05,92,100,6.45,RU,1675116793
76,abha,18.2164,42.5053,11.14,82,0,1.54,SA,1675116794
77,wollongong,-34.4333,150.8833,22.82,75,82,5.42,AU,1675116794
78,georgetown,5.4112,100.3354,26.96,65,20,2.57,MY,1675116740
79,ingham,42.6,-84.3833,-6.71,73,100,5.66,US,1675116795
80,san lazaro,18.0387,-88.6622,26.94,70,9,4.43,BZ,1675116795
81,bengkulu,-3.8004,102.2655,24.02,91,100,2.19,ID,1675116578
